Municipality,Year,Average Income,Employed_Ratio,Unemployed_Ratio,Enrolled_Ratio,Outside_Ratio
Frederikshavn,2024,306515.0,0.5877582249426166,0.02433052792654935,0.10313695485845448,0.2847742922723795
Frederikssund,2008,290176.5,0.6273061332727203,0.014660756904193658,0.10152668863886048,0.25650642118422545
Frederikssund,2009,287960.6,0.6068696565171742,0.0292110394480276,0.10180740962951852,0.2621118944052797
Frederikssund,2010,303775.6,0.5907567406524654,0.031729480113213165,0.11559660360494563,0.26191717562937583
Frederikssund,2011,301584.8,0.5843999849855486,0.029953830561915844,0.1209414061033745,0.26470477834916106
Frederikssund,2012,301453.8,0.5746711762495302,0.03596392333709132,0.12664411875234874,0.2627207816610297
Frederikssund,2013,308880.4,0.5802111908609222,0.0356619443087445,0.1265266243282853,0.25760024050204805
Frederikssund,2014,314465.3,0.5827280980481162,0.02897563927977001,0.12910425177787865,0.25919201089423516
Frederikssund,2015,320102.6,0.5877043273789206,0.02548640345886904,0.13057989153108052,0.2562293776311298
Frederikssund,2016,325866.8,0.6003805175038052,0.0258751902587519,0.1267123287671233,0.24703196347031964
Frederikssund,2017,328023.8,0.6071511046108845,0.024670926025710107,0.12847355861750442,0.23970441074590101
Frederikssund,2018,334691.5,0.6134473197781886,0.021642020948860134,0.12603974121996303,0.2388709180529883
Frederikssund,2019,339532.9,0.6185610898254577,0.020589032083284955,0.1239212043809745,0.2369286737102829
Frederikssund,2020,354770.9,0.6119173178336349,0.024442819200123176,0.1294507101889988,0.23418915277724317
Frederikssund,2021,362150.9,0.6288245077940664,0.013731481839631764,0.12648435384674891,0.23095965651955286
Frederikssund,2022,338674.1,0.6385565270747047,0.01503298051848443,0.11819297438257402,0.22821751802423684
Frederikssund,2023,338297.2,0.6411072345972473,0.01667752942529617,0.11655101023655254,0.22566422574090403
Frederikssund,2024,338752.4,0.6446427226865447,0.01675325653188766,0.11177622167005496,0.22682779911151268
Furesø,2008,342199.0,0.6438916876574308,0.011964735516372796,0.12369557394746311,0.22044800287873337
Furesø,2009,338620.3,0.6222566371681416,0.024469026548672567,0.12601769911504423,0.2272566371681416
Furesø,2010,373497.4,0.6112484548825711,0.028165283418682678,0.13535228677379482,0.22523397492495145
Furesø,2011,373406.2,0.6064985150050978,0.026463939004388492,0.13963384901813022,0.22740369697238352
Furesø,2012,379720.0,0.6000088916551816,0.029120170719779487,0.14506735428800072,0.22580358333703818
Furesø,2013,391016.4,0.6000619578686494,0.025579748628075764,0.14776951672862454,0.2265887767746504
Furesø,2014,401579.2,0.6019130741426431,0.026536189720532486,0.1474036850921273,0.22414705104469718
Furesø,2015,402560.2,0.6075020503302111,0.02158242327448526,0.14701946734579358,0.22389605904951007
Furesø,2016,412901.3,0.6174545454545455,0.020406417112299464,0.14305882352941177,0.21908021390374333
Furesø,2017,419718.4,0.6293170605037652,0.020903661386652818,0.1398338094001558,0.20994546870942613
Furesø,2018,426441.6,0.6399704501998957,0.018381713888406048,0.13527724665391969,0.20637058925777854
Furesø,2019,437168.2,0.6452454454541502,0.019087786425496762,0.13117961650506543,0.20448715161528763
Furesø,2020,448493.3,0.6482220370938747,0.02665848204498619,0.13574779672907442,0.1893716841320647
Furesø,2021,463840.4,0.6700791879949249,0.014131338320864505,0.13190707441921512,0.18388239926499542
Furesø,2022,426014.8,0.684645686333925,0.013116315311025497,0.12376087615254751,0.17847712220250206
Furesø,2023,437332.4,0.6828458296078682,0.016349469919529954,0.12479243837016221,0.17601226210243964
Furesø,2024,439658.2,0.6806925454006688,0.019133894932904374,0.12547093933878,0.17470262032764677
Gentofte,2008,425247.1,0.6403313702011192,0.011632169301825469,0.13137508858532293,0.21666137191173238
Gentofte,2009,413673.2,0.6156437569689924,0.021636497354748405,0.13430286351450738,0.2284168821617518
Gentofte,2010,481868.8,0.6123666185173104,0.02269232561390429,0.13778481897395276,0.2271562368948325
Gentofte,2011,496744.7,0.6023473747071524,0.02340484174743902,0.14123294593228902,0.23301483761311959
Gentofte,2012,503297.3,0.5976785632682905,0.02579628021752045,0.1481972307270484,0.2283279257871407
Gentofte,2013,521814.7,0.5948474056710094,0.023779470765901818,0.14916828201776136,0.2322048415453275
Gentofte,2014,541606.7,0.5902444494281229,0.022695671675263512,0.1521865889212828,0.2348732899753308
Gentofte,2015,606783.4,0.591561597205115,0.01941638859651087,0.15188229234317963,0.2371397218551945
Gentofte,2016,586386.1,0.592869025673306,0.02066004226428668,0.1467784721909986,0.23969245987140866
Gentofte,2017,591836.7,0.5990249433106576,0.02290249433106576,0.14439909297052153,0.2336734693877551
Gentofte,2018,597101.2,0.6107073419127859,0.02147949263957041,0.14424590315711508,0.22356726229052865
Gentofte,2019,644627.1,0.6173090875049732,0.021975707365021413,0.14273678298111353,0.21797842214889185
Gentofte,2020,643299.7,0.6107068485458247,0.02852195886660895,0.14647043683754885,0.21430075575001756
Gentofte,2021,720210.7,0.6279850479750482,0.01838051474964882,0.14099664293707292,0.21263779433823005
Gentofte,2022,651998.7,0.6376497217768556,0.015726681127982648,0.1403847967556352,0.20623880033952655
Gentofte,2023,721661.3,0.6386160661962917,0.017838306650101967,0.14343311221021543,0.2001125149433909
Gentofte,2024,691040.2,0.6404766902213205,0.01833065136780242,0.14296042351733948,0.19823223489353764
